Name,Country,Latitude,Longitude,Phone,Address,PostalCode
Monica’s Mercato,US,42.3651399,-71.0556374,(617) 742-4101,130 Salem St,02113
Name,Country,Latitude,Longitude,Phone,Address,PostalCode
Rail Stop Restaurant & Bar,US,42.356712,-71.1432052,(617) 254-0044,96 Guest St,02135
Name,Country,Latitude,Longitude,Phone,Address,PostalCode
Rail Stop Restaurant & Bar,US,42.356712,-71.1432052,(617) 254-0044,,02135
Name,Country,Latitude,Longitude,Phone,Address,PostalCode
Nirvana The Taste of India,US,42.3824567,-71.1199968,(857) 259-4254,,02138
Name,Country,Latitude,Longitude,Phone,Address,PostalCode
Nirvana The Taste of India,US,42.3824567,-71.1199968,(857) 259-4254,1680 Mass Ave,02138
Name,Country,Latitude,Longitude,Phone,Address,PostalCode
Nirvana The Taste of India,US,42.3824567,-71.1199968,(857) 259-4254,1680 Mass Ave,02138
Name,Country,Latitude,Longitude,Phone,Address,PostalCode
Nirvana The Taste of India,US,42.3824567,-71.1199968,(857) 259-4254,1680 Mass Ave,02138
Name,Country,Latitude,Longitude,Phone,Address,PostalCode
Sushi Planet,US,34.1576828501496,-118.634524212303,(818) 224-3505,23349 Mulholland Dr,91364
