category,rating,name,phone,location,address
"Barbeque,Sandwiches",4.5,KoKyu Na’Mean,(919) 699-4667,"35.7269418,-79.1752021","4823 Meadow Dr Durham, NC 27713"
American (New),4.5,Oakleaf,(919) 533-6303,"35.6400848,-78.837845","480 Hillsboro St Pittsboro, NC 27312"
"American (Traditional),Sports Bars",3.0,Hickory Tavern,(919) 557-2064,"35.7205662,-79.1735837","401 Village Walk Dr Holly Springs, NC 27540"
"Southern,Bed & Breakfast",4.5,Small B&B Café,(919) 537-1909,"35.800713153005,-79.092359017018","219 East St Pittsboro, NC 27312"
"American (New),Venues & Event Spaces,Cocktail Bars",4.5,The Fearrington House Restaurant,(919) 542-2121,"35.5399591,-78.7482235","2000 Fearrington Village Ctr Pittsboro, NC 27312"
Filipino,5.0,Filipino Cuisine,(919) 639-2422,"35.7846439066943,-78.8094571350688","9629 Bitter Melon Dr Angier, NC 27501"
"Southern,Barbeque,Sandwiches",4.5,Brew N Que,(919) 799-2023,"35.8196784323847,-78.9010945335031","1222 NW Maynard Rd Cary, NC 27513"
"Pizza,Italian,Seafood",4.5,Ricci’s Trattoria,(919) 380-8410,"35.9104584,-79.067437","10110 Green Level Church Rd Cary, NC 27519"
"Bars,American (New),Tuscan",4.5,The Shoppe Bar & Meatball,(919) 240-5851,"35.8008249,-78.7673496","370 E Main St Carrboro, NC 27510"
Himalayan/Nepalese,4.5,Himalayan Range Nepali Restaurant,(919) 378-9586,"precise_search_35.7174966,-79.1788772","910 NE Maynard Rd Cary, NC 27513"
"Turkish,Middle Eastern,Mediterranean",4.5,Bosphorus,(919) 460-1300,"35.9174972,-78.9583786","329 N Harrison Ave Cary, NC 27513"
"Pizza,Salad,Sandwiches",4.5,TRE FORNI,(919) 973-0922,"35.0687324,-78.9700254","1125 W Nc Hwy 54 Durham, NC 27707"
Indian,4.5,Tandoori Bites,(910) 339-2222,"35.471425555608,-79.1720584632901","1916 Skibo Rd Fayetteville, NC 28314"
"Chicken Shop,Peruvian",4.5,Alpaca Peruvian Charcoal Chicken,(919) 777-0226,"35.721491,-79.177508","813 S Horner Blvd Sanford, NC 27330"
"Sandwiches,Ice Cream & Frozen Yogurt,American (Traditional)",4.0,S & T Soda Shoppe,(919) 545-0007,"35.518574,-79.165076","85 Hillsboro St Pittsboro, NC 27312"
"American (New),American (Traditional)",4.5,Jeff and Lisa’s Brickhouse Grill,(919) 777-0427,"35.8819411,-79.0656843","1401 Colon Rd Sanford, NC 27330"
"Malaysian,Seafood,Noodles",4.5,Rasa Malaysia,(984) 234-0256,"35.9281825,-79.0343019","410 Market St Chapel Hill, NC 27516"
Tacos,3.5,El Nino,(919) 240-5847,"35.9066678,-79.0225777","1404 East Franklin St Chapel Hill, NC 27514"
"Asian Fusion,American (New),Desserts",4.5,Elements,(919) 537-8780,"35.7312448,-78.851492","2110 Environ Way Chapel Hill, NC 27517"
"American (Traditional),Pubs",4.0,Salem Street Pub,(919) 387-9992,"precise_search_35.7174966,-79.1788772","113 N Salem St Apex, NC 27502"
"Laotian,Asian Fusion,Thai",4.5,Bida Manda,(919) 829-9999,"35.7772492676183,-78.6367019169414","222 S Blount St Raleigh, NC 27601"
